cas	id	score/f7.83125363f7.5543394	score/f3.96892066f7.5543394	score/f7.8423149f3.96892066	score/f7.65137389f7.54371056	score/f2.67183079f2.55375959	score/f4.05847317f3.04562355	score/f2.26835606f7.41543777	score/f4.19323137f2.26835606	score/f7.21512364f2.34609156	score/f2.10098149f2.26835606	score/f8.08686961f4.44197134	score/f1.9327416f2.26835606	score/f3.11155736f3.30174918	score/f6.36097057f6.13422123	score/f2.72536507f3.04562355	score/f8.33470473f6.67724044	score/f7.30971869f6.84334939	score/f4.64518419f5.23951002	score/f6.24620988f6.36097057	score/f3.58786783f2.47461135	score/f6.21704203f6.06044366	score/f6.98478217f7.76865622	score/f2.74415963f3.58786783	score/f3.18131412f2.74415963	score/f6.99371349f6.84334939	score/f7.15493875f2.16092068	score/f4.11516934f3.58786783	score/f4.26441488f4.11516934	score/f6.43833605f3.04562355	score/f1.91427696f2.11117558	score/f1.50892693f3.58786783	score/f5.86025971f5.61164911	score/f2.38065771f1.50892693	score/f1.37357132f1.50892693	score/f1.11970213f1.37357132	score/f5.97056593f5.86025971	score/f3.65800917f7.36383034	score/f7.47437275f7.33825723	score/f1.12989762f1.50892693	score/f4.00955893f3.58786783	score/f3.39722713f3.52922397	score/f3.15649363f4.05847317	score/f4.03764378f2.72536507	score/f4.53880071f5.21309637	score/f4.30671322f7.67911541	score/f3.37475199f1.50892693	score/f1.83683351f2.38065771	score/f2.61479076f6.84334939	score/f3.09422033f1.19139379	score/f6.26268833f3.04562355	score/f6.173676f4.07081943	score/f3.62745737f2.16092068	score/f2.9415488f8.33060653	score/f5.98390494f4.05847317	score/f2.65362897f6.13422123	score/f4.24945164f3.58786783	score/f2.36721772f4.30671322	score/f2.0802689f4.53880071	score/f1.48991788f3.18131412	score/f7.08725811f7.88000916	score/f6.12074843f3.04562355	score/f8.49620795f7.62955706	score/f2.8938235f2.74415963	score/f8.34870752f4.30671322	score/f7.95494567f2.27881983	score/f2.62446615f3.58786783	score/f0.91439674f1.01900188	score/f6.51473917f6.36097057	score/f7.26597854f4.19323137	score/f6.09812883f4.30671322	score/f5.32384267f6.13422123	score/f5.99956963f3.04562355	score/f2.8477771f4.07081943	score/f3.84184016f4.53880071	score/f7.95316535f4.19323137	score/f2.29228556f2.39563347	score/f3.41036438f4.64518419	score/f6.74609331f2.26835606	score/f1.79263619f1.64399104	score/f1.32800494f4.11516934	score/f5.49046355f6.13422123	score/f5.45413051f2.9415488	score/f4.62974974f6.24620988	score/f4.02377892f1.83683351	score/f6.48213498f4.61730956	score/f0.83155705f1.24709382	score/f3.17086713f5.86025971	score/f2.78078922f4.39112747	score/f1.10153829f1.2375346	score/f7.97917265f2.10098149	score/f7.17527913f6.87201597	score/f1.96535712f8.09635394	score/f3.6353089f2.26835606	score/f2.8200243f1.42052021	score/f2.31137638f3.11155736	score/f2.79038061f2.29228556	score/f6.72081819f7.8423149	score/f1.08829468f1.83683351	score/f0.86830182f1.54263629	score/f3.78517816f1.48991788	score/f3.69849025f7.08725811	score/f4.34452389f1.22665954	score/f3.20704457f4.45891829	score/f2.00966913f1.64399104	score/f4.48171741f1.22665954	score/f2.43158044f3.23015616	score/f8.24549261f6.30796788	score/f2.46419281f2.14161058	score/f3.01992633f2.43158044	score/f8.48640761f6.06044366	score/f5.60282437f3.04562355	score/f3.86525495f3.7539065	score/f5.19909117f7.81503062	score/f7.99540288f8.15267475	score/f3.00131145f3.92193576	score/f2.02327747f3.01992633	score/f7.07578926f6.36097057	score/f6.82959963f6.13422123	score/f4.52031939f4.35614714	score/f1.38821794f2.66759434	score/f8.30641865f6.13422123	score/f1.27162019f2.36721772	score/f3.51789794f1.24709382	score/f3.89303619f5.24436416	score/f3.74338363f3.24618599	score/f6.52446765f2.65362897	score/f4.27728549f4.00955893	score/f2.94437771f4.2967762	score/f1.18001829f3.6660258	score/f5.45933027f4.62974974	score/f7.7263651f7.117331	score/f6.71691438f7.5543394	score/f6.55095009f6.24620988	score/f0.97475418f2.47537718	score/f5.18848173f7.0109346	score/f8.22507171f3.00131145	score/f6.6336729f3.04562355	score/f3.43006857f3.23015616	score/f8.38761746f3.74338363	score/f4.14843399f1.8614884	score/f3.76460529f6.36097057	score/f6.89686185f4.07081943	score/f2.90444467f3.23015616	score/f8.1918897f8.33470473	score/f1.31378065f1.70904734	score/f3.82947275f4.26441488	score/f7.06217792f2.34609156	score/f1.61871485f1.01900188	score/f6.68878115f4.30671322	score/f8.02105451f7.90392089	score/f7.10426492f3.24618599	score/f5.29065005f6.24620988	score/f8.20628545f4.05847317	score/f5.51326463f1.66487509	score/f4.58958407f3.23015616	score/f3.29149357f2.17139329	score/f2.88363939f2.47461135	score/f8.34643622f4.00955893	score/f5.34719257f4.29740181	score/f2.92630419f5.24436416	score/f3.48227835f5.24436416	score/f5.52944098f6.36097057	score/f6.07064227f6.65703491	score/f2.63782808f1.50892693	score/f3.90357189f2.16092068	score/f2.21837317f4.00955893	score/f5.4446624f7.117331	score/f8.05600859f7.7263651	score/f7.02540525f7.50037017	score/f4.55579687f7.67911541	score/f3.60478819f1.8614884	score/f6.96092807f3.87397676	score/f3.9339112f5.86025971	score/f7.03452178f2.9415488	score/f1.52511092f1.83683351	score/f8.02916865f4.00955893	score/f3.3225281f4.44197134	score/f2.32341986f4.07081943	score/f8.13693716f8.437004	score/f6.36097057f6.13422123.neg	score/f6.36097057f6.13422123.pos	score/f3.58786783f2.47461135.neg	score/f3.58786783f2.47461135.pos
597-44-4	10004261	0.9249	1.1564	1.7978	0.3551	1.5563	10.9256	5.2486	4.0091	2.2997	3.3057	0.0000	3.4746	2.6376	8.9628	13.2901	0.0004	0.0037	0.0000	8.7889	23.5029	6.2225	0.0000	19.9333	19.2867	0.0011	0.0025	13.4190	11.8449	6.9694	0.9821	9.9919	0.7720	6.5544	6.1808	4.8438	0.4253	5.8892	0.0000	4.1026	11.8818	0.0081	4.4258	6.2496	7.2435	2.7877	4.8066	5.1511	0.0000	0.0000	7.2994	0.4391	0.0000	3.3818	4.6622	8.0662	10.5148	2.1667	4.2948	11.4103	1.6663	5.8903	0.0618	13.0867	1.6136	4.3365	8.2454	0.0003	5.4787	0.5761	2.0195	6.1498	4.8986	0.1692	6.0967	0.4894	6.1371	0.0000	1.1685	0.0075	16.2713	7.3319	5.0799	4.5758	3.0289	0.0509	1.4631	0.3901	4.9772	1.2618	0.7219	0.0000	0.0007	0.6587	0.0000	1.8679	9.9166	0.6120	2.0455	0.0004	5.9480	3.9617	0.0016	0.0009	0.0776	0.0005	1.2093	2.8667	7.6137	2.1298	2.9083	4.0734	0.0050	0.0008	0.0000	0.0000	1.0024	5.6320	5.1686	1.5302	4.0227	2.9479	0.3608	0.1896	0.0002	0.0011	2.5094	3.5870	1.0155	0.0000	0.0023	0.0055	0.0512	4.0802	7.2615	1.5034	0.0265	3.5852	0.0248	0.0402	0.0001	3.5558	0.0167	0.1081	0.0009	0.0009	4.1835	1.4505	0.0003	0.6210	0.0022	0.0005	3.4627	1.7235	0.0001	0.0753	0.0284	10.0154	3.8329	0.0947	0.0016	0.0000	3.0903	0.0004	1.5773	0.0095	8.1917	0.0061	0.0000	0.0010	0.8538	0.0018	0.0092	0.0136	1.6964	0.8586	2.6238	0.0009	0.0495	0.0565	8.9628	2.4012	3.4737	23.5029
5657-19-2	10004391	0.5383	0.6726	0.8091	0.4069	0.3016	5.1542	5.7510	6.7944	6.7046	5.8216	0.0586	4.0582	0.0727	2.2473	3.5980	2.3134	0.0683	0.0001	2.1739	0.9212	1.7690	0.0012	0.7485	0.4520	0.0985	0.0017	0.8945	0.4823	2.6754	1.6388	1.6088	1.4737	1.6204	1.6360	0.7794	1.1228	1.6552	0.0085	1.6716	0.8462	1.2085	3.1231	1.5830	0.9015	7.9241	1.0136	1.3371	0.0555	0.0001	2.2508	1.5925	0.0001	1.3930	2.6160	1.4075	0.4669	1.6694	0.4615	0.3516	0.1788	2.4576	0.0963	0.1322	2.3267	1.2948	0.9822	0.0001	1.2894	5.7429	1.5609	1.3301	2.4453	0.7051	0.4398	2.2951	0.3616	0.0024	2.3311	0.0000	0.0513	1.2785	0.9244	0.7166	0.7731	0.1152	0.4172	1.4224	0.0002	0.0719	2.8252	5.2119	0.0547	1.3231	0.0001	0.0131	0.1847	0.2579	1.1075	0.0042	0.1583	0.2953	0.0001	0.2078	0.0001	0.0001	0.0022	0.5191	0.0001	0.0122	0.7236	1.7743	0.0000	0.0008	0.0077	3.9502	0.1485	1.0084	0.8287	0.1252	0.5358	0.5306	0.1440	0.4155	0.0001	0.0001	0.4081	0.1090	0.4644	0.0000	0.0001	0.0484	0.0213	0.4925	0.0042	0.0046	0.0679	5.9608	0.0011	0.0001	0.0070	0.7059	0.2732	0.0517	0.4367	0.0001	0.0464	0.6774	0.0001	0.5990	0.0033	0.0075	0.3615	1.3590	0.0000	0.0513	0.0623	0.0878	0.3806	0.4414	0.0000	0.0039	0.5752	2.9122	0.3925	0.0009	0.0632	0.0009	0.0038	0.3081	3.3305	0.0010	0.0005	6.7476	0.2276	0.4622	0.0815	0.0059	0.3770	0.0087	2.2473	2.2473	0.9212	0.9212
621-37-4	10004401	0.7163	0.6973	0.8490	0.4447	0.1386	0.8411	20.2790	17.2477	47.6963	14.7641	0.0215	15.5613	0.0076	1.2280	0.2888	0.0001	21.9718	0.5241	1.1001	1.4673	0.4686	0.3254	0.9329	1.0193	18.2422	0.0199	1.0173	0.9810	0.5076	1.9092	1.1129	0.1511	0.8140	0.7647	0.4922	0.0889	7.8935	0.0526	0.4899	1.1547	0.2486	0.4247	0.0643	0.6523	0.1115	0.8393	1.0471	14.8704	0.0000	0.4832	0.7324	0.0028	0.5208	0.2649	0.6548	0.6805	0.9136	0.6677	1.4912	0.0048	0.1405	0.0958	0.2092	0.5031	0.7224	0.7002	0.0000	0.5617	16.2306	0.3329	0.5347	0.2385	0.9339	0.6739	4.6939	0.6341	0.2652	7.6665	0.0000	0.1587	0.4673	0.3734	0.1991	0.5726	0.0008	0.4305	0.0466	0.0000	0.1428	3.7599	8.5440	0.0090	5.1427	0.0000	0.0464	0.4253	0.5899	0.3874	0.0010	0.6201	0.0332	0.0028	0.1670	0.0000	0.0003	0.0001	0.0291	0.0120	0.0000	0.2733	0.1127	0.0021	0.0387	0.0000	0.0627	0.0005	0.7520	5.5805	0.2305	0.2001	0.1377	0.1321	0.1476	0.0801	0.0207	0.0645	0.1686	0.0000	0.0000	0.0000	0.0070	0.4249	0.1902	0.0802	0.0251	0.0395	0.0464	0.0109	0.0007	0.0017	0.1479	0.2849	0.0003	0.0000	0.0000	0.4994	8.6437	0.0000	0.2024	0.0000	0.0000	0.1198	0.0291	0.0000	0.0016	0.2112	0.2563	0.1284	0.0024	0.0185	2.4278	0.2451	0.0344	0.0763	0.0011	0.0970	0.0001	0.0000	0.5569	0.0022	0.0005	0.0005	0.0076	0.0592	0.2474	0.0582	0.0040	0.4306	0.0008	1.2280	1.2280	1.4673	1.4673
124-04-9	10004481	0.2913	0.3958	0.5915	0.1117	1.4854	6.4373	0.0387	0.0114	0.5177	0.0054	0.0345	0.1981	1.1330	5.1285	2.9989	0.2162	0.2148	0.0000	4.5016	6.7490	2.4471	0.0000	5.5271	4.3745	0.0021	13.7401	5.4470	3.2183	2.9037	0.0180	13.7640	1.9454	12.3723	11.6766	3.8386	1.9625	2.1567	0.1299	10.9803	5.2838	0.0101	5.1372	0.7147	3.5510	2.4596	10.8141	4.6390	0.0055	0.0000	3.4610	1.1112	9.9440	1.4495	4.3488	3.1342	4.2378	3.2076	2.5373	3.6376	2.1785	2.9104	0.0003	1.7320	2.7073	0.9406	5.3423	0.2593	3.7488	0.0004	2.6356	1.7517	4.0797	0.3363	2.4812	0.0003	3.7411	0.0000	0.0001	0.0001	0.7448	2.2294	1.5491	1.7784	3.0482	0.0337	1.1260	1.7515	0.0014	0.2531	0.0030	0.0000	0.0239	0.0161	0.5599	0.7586	1.9602	0.2334	2.2134	10.3666	1.2746	3.7499	0.0007	0.0537	0.0151	0.0010	0.1033	0.7771	0.0125	0.0421	0.8529	2.5790	0.0027	0.0000	0.0006	0.0031	0.1692	4.1565	1.2824	1.4058	3.1293	1.4596	0.9431	0.4169	0.0013	0.0039	1.1550	1.3858	0.0070	0.0000	0.0019	0.0024	0.0223	1.3273	0.0075	0.3959	0.0062	1.3766	0.2074	0.0087	0.3436	2.9705	0.2560	0.2096	0.0356	0.4037	0.9390	0.6304	0.0925	0.9866	0.0037	0.0249	0.8886	1.9281	0.0000	0.3480	4.3694	1.1256	0.8570	0.0020	0.0000	0.0000	2.1630	0.0150	4.8052	6.5528	4.3684	0.0019	0.0001	0.0002	0.9549	0.7341	0.0588	0.7646	0.7727	6.6603	1.0409	0.0307	0.0639	0.0156	5.1285	1.4804	1.0495	6.7490
1492-24-6	10004521	0.2858	0.3144	0.5424	0.0977	0.7852	4.0811	13.0981	11.5051	4.3285	11.5270	0.7187	23.4211	0.3474	5.3090	1.5772	0.0003	0.1700	0.1054	4.8470	4.1160	2.1741	0.0019	2.8921	2.8671	0.0196	0.9727	2.8680	2.3756	2.3734	14.6225	4.2912	0.7407	4.2610	4.1171	2.5929	0.6252	6.4511	0.0052	4.2527	3.8569	0.0401	2.4804	0.2947	2.0723	1.7292	3.0275	3.4338	0.0010	0.0000	2.9721	1.4746	0.5241	2.6475	2.2304	2.8909	2.9035	2.3948	1.0427	2.9096	1.9136	2.1343	0.0077	0.6738	1.8769	2.0430	2.6806	0.5378	3.1898	3.6207	2.1260	2.3144	2.1833	0.6557	1.4517	2.4920	2.2188	0.0691	4.0530	0.0000	0.6763	2.3464	2.3060	1.6589	2.6597	0.0394	1.0583	0.8203	0.0000	0.3151	3.0365	0.0000	0.7410	3.9598	0.0000	0.1450	0.8929	0.1935	2.2822	0.0004	1.1329	7.7540	0.0001	0.2242	0.0002	0.0041	0.0340	0.4914	0.3825	0.0335	0.4958	1.4248	2.9825	0.0002	0.0009	0.0000	0.0521	3.5921	1.8045	0.7106	3.2966	1.3254	0.8937	0.0689	0.0393	5.2632	0.5702	1.2742	0.0284	0.0000	0.0000	0.2530	0.0230	1.4676	7.3363	0.3288	0.0000	0.7247	0.0195	3.5568	3.8972	2.7970	0.4252	0.0221	0.0018	0.0000	1.1354	1.4412	0.2106	0.5918	0.0006	0.8711	1.1881	0.4686	0.0000	0.0902	0.6609	0.7472	1.0822	0.0184	0.0370	0.0713	1.7738	0.1703	1.2328	0.0665	0.7595	0.1986	0.0326	0.0056	0.5117	3.7050	0.0099	0.1550	0.5798	0.9285	1.1287	0.2523	0.3643	0.0625	5.3090	2.3135	4.1160	2.8519
368-16-1	10004791	46.3834	64.9068	62.1486	22.6160	1.1909	11.2520	0.8742	0.5451	1.2085	0.3846	0.0494	0.8018	11.4681	8.1111	5.7333	0.0129	0.0217	0.0013	7.0847	8.8712	3.8283	0.0002	8.7770	12.9834	0.0263	0.0143	7.5091	4.3764	5.7992	0.2771	9.7862	4.0315	7.9677	7.7803	4.7080	3.9630	3.0760	0.0002	6.2740	8.0744	0.6142	14.6624	1.6607	5.3188	3.2405	5.1314	5.7035	0.0157	0.0000	6.3748	2.4678	0.0000	4.0144	7.1189	4.6059	5.5796	5.3147	2.6648	8.9164	2.9628	5.1574	2.3136	2.8974	6.0338	2.4825	6.6056	0.0000	4.9179	0.1574	4.9963	3.2550	6.5758	1.2402	4.0192	0.0425	3.8752	0.0636	0.1042	0.0000	0.8384	3.4201	2.7331	2.2540	4.0800	0.0022	1.8420	9.8300	0.0000	0.2379	0.0137	0.0000	0.0388	0.0191	0.0000	0.9477	1.6722	2.9274	3.2639	0.0030	1.3302	7.6265	0.0000	3.7000	0.0000	0.0000	5.3085	0.6787	0.0423	0.0128	1.0730	4.8587	0.0004	0.0044	0.0000	1.8623	0.0608	5.8270	2.0140	1.6409	3.3362	1.4872	0.9167	0.5717	0.0000	2.7386	0.5242	1.9526	0.0046	0.0000	0.0000	0.1585	1.1576	1.9031	0.1741	0.2809	0.0086	1.6779	4.6351	0.1496	0.0015	3.9044	0.6622	5.0912	0.0000	0.0000	1.3598	3.4008	0.0000	0.9289	2.0523	3.6080	1.2166	1.3505	0.0000	4.4972	3.0528	1.2191	1.0904	0.0038	0.0000	0.0000	3.1428	0.1412	1.0509	0.5814	1.1573	0.2511	0.0001	0.5240	0.5767	0.0000	0.0008	6.8187	4.8117	1.4159	1.1053	2.4327	0.1858	0.0022	6.8054	5.9231	2.7373	7.5271
121-34-6	10004841	45.7082	41.3039	40.6292	51.6375	0.0007	0.4161	53.1128	30.1170	13.7562	25.1611	0.0680	26.0878	0.0016	0.1180	0.4688	0.0000	5.9675	0.0970	0.0575	0.1555	0.1570	0.1894	0.1557	0.2584	3.7125	9.3822	0.2128	0.3604	0.0586	2.6822	0.1578	0.1237	0.2093	0.1201	0.1072	0.0422	13.0099	16.2386	0.0736	0.1521	1.0888	0.2393	0.6214	0.1400	0.0257	0.2259	0.2834	1.7353	0.0000	0.0570	0.2279	8.5113	0.0046	0.1005	0.0080	0.0875	0.0447	0.1902	0.5058	0.0000	0.0682	4.6632	0.0862	0.0386	0.1410	0.0163	0.0006	0.0087	10.3694	0.0190	0.0213	0.0647	0.6032	0.3036	6.2869	0.3997	0.0753	13.0183	0.0000	0.0496	0.0170	0.0057	0.0008	0.0947	0.0004	0.5242	0.0257	0.0000	0.5338	5.1635	0.0058	0.0017	8.4149	0.0000	0.0116	0.3495	4.2099	0.0758	0.0002	0.1688	0.0010	0.1067	0.6440	0.0000	0.1241	0.0027	0.0001	0.0523	0.0011	0.0480	0.0547	0.2560	0.0753	0.0000	4.5580	0.0004	0.0494	0.1381	0.0496	0.0061	0.0033	0.0265	0.5167	3.5075	0.0019	0.0000	0.0190	0.0054	0.0000	0.0000	0.0033	3.7778	0.0049	0.2002	0.0695	0.4651	0.0023	0.0234	0.0001	0.0518	0.0037	0.6236	0.0036	0.0005	0.0000	0.2665	2.9083	0.0000	0.0006	0.0000	0.0001	0.0003	0.0148	0.0000	0.0001	0.0305	0.0176	0.0052	0.0010	0.0024	0.0888	0.0186	0.0163	0.0277	7.4756	0.0879	0.0000	0.0000	6.8358	0.0000	1.0581	10.4204	0.0037	0.0002	0.0336	0.0019	0.0100	0.1102	0.0000	0.1180	0.1180	0.1555	0.1555
1460-34-0	10004911	0.5886	0.7497	1.3898	0.0936	1.2442	10.1982	0.0011	0.0000	0.1974	0.0000	0.0000	0.0004	0.1826	13.1336	4.2332	0.0000	0.0000	0.0000	12.1087	15.1123	6.8296	0.0000	11.7148	9.7482	0.0000	0.0000	12.5465	10.4838	6.7889	0.0293	22.7222	1.1497	21.1382	20.2566	16.7345	1.0255	3.9936	0.0000	24.7092	10.8083	0.0000	6.0066	0.4398	7.8935	2.0200	15.4888	10.0809	0.0000	0.0000	7.7832	1.7550	0.0000	10.9808	5.6223	8.2142	10.8967	4.2535	4.4461	19.9619	0.7310	4.8713	0.0050	10.5533	3.7824	2.7055	8.2930	9.3557	8.0146	0.0000	3.3724	6.4792	5.6471	0.4514	5.2983	0.0000	5.8203	0.0000	0.0000	0.0000	3.6777	6.9948	8.8760	5.4250	5.4078	0.0279	4.2075	0.5239	0.0000	7.9587	0.0000	-0.0000	0.0039	0.0000	9.2232	0.0572	3.5026	0.3872	9.9088	4.7465	13.2134	2.0469	0.0005	0.0000	0.0000	0.0013	0.0585	2.4931	0.4984	0.0161	2.2690	3.4578	0.0000	0.0000	0.0000	0.0000	0.0227	6.2773	5.5504	1.6357	5.4215	3.0287	0.6798	0.5626	0.0000	0.0000	1.3297	1.9476	1.3201	0.0000	0.0000	0.0000	0.0085	4.2912	0.8512	0.4065	0.0000	2.0771	0.0104	0.0000	0.0001	4.0279	0.3922	2.7484	0.0000	2.4241	3.4068	0.2307	0.1311	1.0066	0.0000	0.0000	2.8588	0.7626	0.1653	0.0259	0.0142	7.9662	1.3197	0.0000	1.6221	0.0000	3.7672	0.0387	6.9365	0.0000	1.5220	0.0000	0.0000	0.0000	0.2823	0.0012	0.0000	0.2178	3.0613	2.5457	1.2007	0.0000	0.1020	0.0006	13.1336	4.4941	1.8537	15.1123
99-96-7	10005001	89.0686	62.9323	65.2247	40.9147	0.0153	0.0716	0.0089	0.0282	0.0052	0.0433	0.0834	0.0317	0.0003	0.2088	0.0758	0.0027	7.2872	0.0126	0.1735	0.0565	0.4362	16.9734	0.0521	0.0902	7.7954	0.1337	0.0923	0.1345	0.0384	0.1105	0.0688	0.4223	0.0629	0.2305	0.2759	0.4173	0.0096	0.0826	0.3149	0.1655	0.0184	0.1152	0.3730	0.1160	0.2906	0.0918	0.0553	4.1946	0.0016	0.0565	1.2255	0.1551	0.0611	0.0479	0.0603	0.0334	0.8380	0.1073	0.2521	0.0070	0.0179	6.8032	0.0493	0.7629	0.0632	0.0200	0.0011	0.0233	0.0297	0.4879	0.0647	0.0569	1.6800	0.0961	0.0055	0.0635	0.0247	0.0010	0.0003	0.0277	0.0420	0.0400	0.0138	0.1000	0.0000	0.1597	0.8744	0.0000	0.0416	0.0592	0.0097	0.3173	0.0178	0.0001	0.0001	0.0568	6.2308	0.4374	0.0198	0.0713	0.0091	0.0016	0.0145	0.0001	0.0192	0.1269	0.0008	0.4959	0.1241	0.2229	0.0102	0.0115	11.5002	0.0993	0.1227	0.2389	0.0476	0.2754	0.0227	0.0304	0.0393	0.4527	0.1402	0.0030	0.1659	0.0011	0.1317	0.0612	0.0003	0.0000	0.1949	4.7993	0.0475	0.9861	1.4102	0.0542	0.0055	0.1671	0.0153	0.0330	0.0153	8.6476	0.0695	0.0042	0.0010	0.0677	0.0090	0.0009	0.2820	0.0021	0.1677	0.0101	0.0033	0.0001	0.0078	0.1642	0.0959	0.2996	0.2809	0.0559	0.0245	0.0763	0.8928	0.0130	0.0444	0.0369	0.0738	0.0035	0.2695	0.0230	0.0041	0.0442	0.2882	0.0289	0.0538	0.0549	0.0518	0.6230	0.0067	0.2088	0.2088	0.0565	0.0565
542-32-5	10005101	47.6250	65.3004	63.1061	24.7754	1.3454	14.4924	86.8456	84.0678	43.3819	93.0619	0.1617	78.8102	0.8694	16.5531	5.0461	0.0000	0.0024	0.0000	15.0472	16.4934	8.4461	0.0000	13.6879	10.4775	0.0001	0.0744	14.5249	10.1001	7.6454	32.6236	18.0315	2.1516	20.7229	15.6000	12.3498	1.2135	21.2500	0.0000	12.5930	12.9785	0.0897	8.1850	0.4846	11.9825	3.1287	11.9866	23.3222	0.0000	-0.0000	9.0580	3.8145	0.0018	7.0745	7.2908	9.7424	11.8785	11.5420	13.7547	7.7490	2.4618	5.5186	1.4826	3.1244	5.8954	17.6191	12.4274	0.0011	9.2372	20.6502	5.8668	5.6053	7.2288	1.2237	8.2558	16.0260	18.5864	0.0000	27.0518	5.2797	1.2777	6.9468	4.6965	4.9624	13.6414	0.0029	3.4416	0.9286	0.0000	0.6137	20.3448	0.0000	0.1169	24.7064	0.0000	3.9496	7.7463	2.5059	10.6632	1.3890	2.5404	7.9974	0.0000	0.0689	1.1848	0.0000	0.0016	1.3303	0.0000	0.0009	2.1384	4.1384	0.1302	0.0000	0.0000	0.1521	0.7283	9.4204	3.9126	2.7244	7.0630	3.5075	3.4812	0.3788	0.0000	0.2804	1.5233	2.2535	0.0000	0.0000	0.0000	0.0003	0.8091	3.1659	0.0000	0.0795	0.0000	1.8155	0.0004	0.2825	0.8978	10.1099	0.5184	0.0079	0.0000	2.7291	3.0653	9.0509	1.0867	1.2668	0.0000	0.0014	2.1364	0.8995	0.0218	0.0853	2.3223	1.2601	1.0410	0.0000	0.0000	0.0000	5.1780	0.0073	1.4432	0.0004	3.2116	0.0000	0.0000	0.0000	0.2866	0.3653	0.0000	2.3979	1.1034	4.7372	1.1021	0.0124	2.2077	0.0004	14.6143	4.2980	2.1339	15.1230
74-79-3	10005171	0.0137	0.0181	0.0496	0.0012	0.2992	5.6799	8.0604	6.7206	1.6611	6.9696	0.5198	16.2148	0.0735	4.7096	2.8496	0.0001	0.0013	0.0047	4.1932	3.6043	1.3328	0.0000	2.3284	1.5057	0.0000	0.1342	3.6235	2.6229	2.3087	11.3306	4.7166	0.9121	4.2751	5.0235	3.6868	0.8745	2.8865	0.0000	4.4426	2.9234	0.0050	3.3140	0.7370	2.0048	1.8394	2.2506	8.1800	0.0000	0.0000	2.9623	1.9151	0.0101	2.0280	3.3463	2.4958	2.8459	3.3249	0.9078	1.5541	0.6852	2.2484	0.0002	0.2527	3.9265	1.8231	2.7568	0.0021	2.3426	1.5858	3.1433	1.3794	2.8164	0.9811	1.2503	0.7821	1.3353	0.0006	1.7672	9.2215	0.3498	1.4651	1.0562	1.0987	6.3733	0.0004	0.3526	0.6012	0.0000	0.0139	1.2298	0.0000	0.6588	1.3033	0.0000	0.0074	0.3610	0.0099	6.1866	0.0268	3.4630	1.2937	0.0000	3.4937	2.9325	0.0000	6.1147	0.2309	0.0207	0.0379	0.1571	2.5268	1.6166	0.0000	0.0000	0.0000	0.0061	2.2705	0.6816	0.3741	2.1588	0.6316	0.5540	0.0343	0.0024	6.7248	0.1696	0.3372	0.0007	0.0000	0.0000	0.0049	0.0001	0.7902	0.0335	0.0041	0.0000	0.6108	4.5185	1.6850	2.1011	5.4710	0.3901	4.4551	0.0002	6.0506	0.7284	0.2414	2.6496	0.4597	0.0000	2.3144	0.3528	0.4828	0.5916	4.5276	0.2529	0.2022	0.1483	0.0005	0.0001	0.0012	1.1281	0.1513	0.3003	0.0007	0.1123	0.0037	0.0000	0.0000	0.1538	1.9838	0.0001	0.1023	0.2769	2.6737	0.2113	0.1369	0.2332	0.0026	4.7096	1.9059	2.1659	3.6043
3058-01-3	10005551	0.0939	0.1749	0.4771	0.0034	2.4555	15.0078	30.6970	26.7862	32.7540	28.2191	0.1319	39.5498	1.2165	17.1575	6.0155	0.0000	0.0047	0.0000	15.7337	23.2534	8.3767	0.0000	16.4602	13.1285	0.0000	6.5623	18.3209	13.6784	7.6442	22.5739	29.9927	2.5907	33.8223	25.6019	14.1602	1.8985	17.4600	0.0000	22.4152	17.0697	0.0005	9.5853	0.6939	11.9778	4.4438	20.7865	21.5970	0.0000	0.0000	9.9924	3.8076	3.5404	7.5095	8.2715	9.7128	16.0688	13.4253	7.4987	24.1705	2.7570	6.5391	0.0000	5.1497	6.6752	7.5245	14.8870	3.3778	10.1402	6.5171	7.0570	6.6373	8.7341	1.2010	8.2962	4.2716	16.5661	0.0000	8.6879	0.6001	4.5962	8.3667	5.6617	6.1387	10.1118	0.0071	4.3597	1.5198	0.0000	1.6837	5.7369	0.0000	0.2039	7.9989	0.1360	4.7504	5.5074	0.0905	8.1031	3.5726	15.5461	5.8904	0.0000	0.0453	0.7269	0.0001	2.2585	2.2324	3.9056	1.8250	2.1887	4.7066	0.0000	0.0000	0.0000	0.0000	0.0682	10.5300	5.6959	3.2101	9.6653	3.6084	4.4027	0.2936	0.0000	0.0000	1.5102	3.3321	0.0003	0.0000	0.0000	0.0000	0.0012	4.9145	0.5688	0.5051	0.0000	2.1474	0.0230	0.0000	1.7389	6.3736	0.7314	0.0925	0.0000	0.3781	4.5508	8.1712	2.3450	2.1757	0.0000	0.0001	3.1767	1.4196	0.0169	0.1478	2.3787	4.1224	1.5108	0.0000	0.0000	0.0000	5.6633	0.0174	7.7340	1.5181	2.4352	0.0000	0.0000	0.0001	0.8071	1.7929	0.0000	0.1844	1.5140	7.3973	2.2703	0.0177	2.4771	0.0001	15.1154	4.7409	2.5033	23.2534
