f1.52511092f1.83683351	f1.53m-f1.84m
f8.02916865f4.00955893	f8.03m-f4.01m
f3.3225281f4.44197134	f3.32p-f4.44p
f2.32341986f4.07081943	f2.32p-f4.07p
f8.13693716f8.437004	f8.14m-f8.44m
f6.7051099f6.82959963	f6.71m-f6.83m
f3.44013269f2.47461135	f3.44p-f2.47p
f2.12859308f1.47858414	f2.13m-f1.48m
f4.5015575f6.97249292	f4.5p-f6.97p
f8.47811472f6.65703491	f8.48m-f6.66m
f1.63097568f4.16326059	f1.63p-f4.16p
f5.30307283f5.18848173	f5.3p-f5.19m
f6.52368372f2.40817863	f6.52p-f2.41m
f6.64266409f6.47476597	f6.64p-f6.47p
f1.95830335f4.44197134	f1.96m-f4.44p
f8.03858505f3.38826379	f8.04m-f3.39m
f6.78631593f6.37655377	f6.79m-f6.38m
f0.9233501f2.06309767	f0.92p-f2.06p
f5.42901902f6.36097057	f5.43m-f6.36p
f6.61122472f7.13492372	f6.61p-f7.13p
f3.70848804f7.92947912	f3.71m-f7.93m
f1.04094535f2.14161058	f1.04p-f2.14p
f6.77685613f2.80069963	f6.78m-f2.8p
f3.4673763f4.07081943	f3.47m-f4.07p
f1.3765976f2.00966913	f1.38m-f2.01m
f1.16413072f8.33060653	f1.16p-f8.33p
f2.04263751f4.16326059	f2.04p-f4.16p
f1.68930528f6.64266409	f1.69m-f6.64p
f7.93895148f8.33060653	f7.94m-f8.33p
f3.55359432f3.11155736	f3.55p-f3.11p
f7.25409772f3.63518568	f7.25p-f3.64m
f3.36333725f1.18001829	f3.36p-f1.18p
f3.57949127f4.46911394	f3.58m-f4.47m
f2.5863198f1.06009931	f2.59m-f1.06p
f7.03619815f8.38761746	f7.04m-f8.39m
f5.40764491f4.07081943	f5.41m-f4.07p
f2.03225747f4.2967762	f2.03p-f4.3m
f6.14583567f4.54324882	f6.15m-f4.54p
f6.88443997f3.67716632	f6.88p-f3.68m
f1.73382201f2.47461135	f1.73p-f2.47p
f3.91603521f3.39722713	f3.92m-f3.4m
f6.3725191f1.12989762	f6.37p-f1.13m
f5.33911194f8.33060653	f5.34m-f8.33p
f0.98690595f3.14271068	f0.99m-f3.14p
f8.21359638f3.14271068	f8.21p-f3.14p
f4.42630839f2.39563347	f4.43m-f2.4m
f8.04583428f3.7378209	f8.05m-f3.74m
f6.94517234f2.16092068	f6.95m-f2.16p
f5.42237458f3.92193576	f5.42p-f3.92p
f3.71818444f4.07081943	f3.72m-f4.07p
f5.55673975f5.38200306	f5.56m-f5.38p
f6.76228034f4.15830713	f6.76p-f4.16m
f5.17541881f6.51473917	f5.18m-f6.51p
f8.45026982f4.13209927	f8.45p-f4.13p
f5.16581438f6.26268833	f5.17m-f6.26p
f8.46065561f3.56582408	f8.46p-f3.57m
f0.84160639f3.19588854	f0.84p-f3.2m
f2.23637226f1.22665954	f2.24m-f1.23m
f0.93528491f8.33060653	f0.94m-f8.33p
f5.39390303f7.69689873	f5.39p-f7.7m
f2.21876128f6.64266409	f2.22m-f6.64p
f0.94546518f6.71691438	f0.95m-f6.72m
f5.1831737f4.30671322	f5.18p-f4.31m
f7.87832101f5.34719257	f7.88m-f5.35m
f8.31611841f4.42630839	f8.32m-f4.43m
f5.30239701f2.23637226	f5.3p-f2.24m
f8.16518895f5.15240333	f8.17m-f5.15p
f5.46975665f2.80069963	f5.47m-f2.8p
